ID,Row,Column,Plate
RKPR072,2,16,3
JKPB513,2,17,3
RKPR073,2,18,3
JKPB518,2,19,3
RKPR074,2,20,3
JKPB520,2,21,3
RKPR075,2,22,3
JKPB521,2,23,3
RKPR076,2,24,3
R314,3,1,3
124F,3,2,3
R317,3,3,3
113B,3,4,3
R347,3,5,3
206,3,6,3
T39,3,7,3
MKPU279,3,8,3
H133,3,9,3
213,3,10,3
H68,3,11,3
214,3,12,3
M549,3,13,3
217,3,14,3
M459,3,15,3
223,3,16,3
M552,3,17,3
225,3,18,3
M616,3,19,3
MKP103,3,20,3
Q53,3,21,3
234,3,22,3
M676,3,23,3
235,3,24,3
JKPB519,4,1,3
RKPR078,4,2,3
JKPB526,4,3,3
RKPR079,4,4,3
JKPB529,4,5,3
RKPR083,4,6,3
JKPB530,4,7,3
RKPR088,4,8,3
JKPB532,4,9,3
RKPR089,4,10,3
JKPB533,4,11,3
MKPB244,4,12,3
JKPB536,4,13,3
RKPU001,4,14,3
JKPB537,4,15,3
RKPU020,4,16,3
JKPB538,4,17,3
RKPU035,4,18,3
JKPB539,4,19,3
RKPU049,4,20,3
JKPB541,4,21,3
RKPU054,4,22,3
JKPB543,4,23,3
RKPU059,4,24,3
G3,5,1,3
240,5,2,3
Q54,5,3,3
247,5,4,3
R186,5,5,3
R146,5,6,3
R185,5,7,3
MKP103,5,8,3
N135,5,9,3
222A,5,10,3
N162,5,11,3
242F,5,12,3
N285,5,13,3
248,5,14,3
N242,5,15,3
303,5,16,3
N348,5,17,3
304,5,18,3
MKPR043,5,19,3
305,5,20,3
M351,5,21,3
HKPB56,5,22,3
HKPU022,5,23,3
309,5,24,3
RKPR134,6,1,3
MKPB245,6,2,3
JKPB546,6,3,3
MKPR222,6,4,3
JKPB547,6,5,3
MKPR224,6,6,3
JKPB548,6,7,3
MKPR228,6,8,3
JKPB549,6,9,3
MKPR230,6,10,3
JKPB600,6,11,3
MKPU060,6,12,3
JKPB601,6,13,3
RKPU109,6,14,3
JKPB602,6,15,3
RKPU110,6,16,3
JKPB603,6,17,3
RKPU115,6,18,3
JKPB604,6,19,3
RKPU120,6,20,3
JKPB605,6,21,3
RKPU125,6,22,3
JKPB606,6,23,3
RKPU132,6,24,3
M387,7,1,3
311,7,2,3
M397,7,3,3
RKPU086,7,4,3
Kp001,7,5,3
313,7,6,3
Kp002,7,7,3
314,7,8,3
Kp004,7,9,3
316,7,10,3
Kp006,7,11,3
318,7,12,3
Kp005,7,13,3
317,7,14,3
Kp007,7,15,3
319,7,16,3
Kp008,7,17,3
322,7,18,3
Kp009,7,19,3
323,7,20,3
Kp010,7,21,3
324,7,22,3
Kp013,7,23,3
325,7,24,3
JKPB607,8,1,3
RKPU141,8,2,3
JKPB608,8,3,3
RKPU156,8,4,3
MKPU108,8,5,3
RKPU159,8,6,3
JKPB610,8,7,3
RKPU161,8,8,3
JKPB611,8,9,3
RKPU162,8,10,3
JKPB612,8,11,3
RKPU166,8,12,3
JKPB613,8,13,3
RKPU176,8,14,3
JKPB614,8,15,3
RKPU179,8,16,3
JKPB528,8,17,3
RKPU181,8,18,3
JKPB531,8,19,3
MKPR246,8,20,3
JKPB550,8,21,3
RKPU186,8,22,3
JKPB551,8,23,3
RKPU187,8,24,3
Kp014,9,1,3
326,9,2,3
Kp016,9,3,3
MKP103,9,4,3
MKPU050,9,5,3
328,9,6,3
Kp019,9,7,3
329,9,8,3
Kp020,9,9,3
330,9,10,3
Kp022,9,11,3
331,9,12,3
Kp024,9,13,3
332,9,14,3
Kp029,9,15,3
335,9,16,3
Kp032,9,17,3
336,9,18,3
Kp033,9,19,3
339,9,20,3
Kp034,9,21,3
340,9,22,3
Kp035,9,23,3
341,9,24,3
JKPB552,10,1,3
RKPU206,10,2,3
JKPB554,10,3,3
RKPU253,10,4,3
JKPB553,10,5,3
DKPB002,10,6,3
RKPR135,10,7,3
DKPU005,10,8,3
MKPU034,10,9,3
DKPU006,10,10,3
JKPB527,10,11,3
DKPU016,10,12,3
JKPB540,10,13,3
DKPU020,10,14,3
JKPB542,10,15,3
DKPU025,10,16,3
JKPB524,10,17,3
DKPU094,10,18,3
JKPB525,10,19,3
HKPB014,10,20,3
JKPB517,10,21,3
HKPR001,10,22,3
JKPB507,10,23,3
HKPR012,10,24,3
Kp036,11,1,3
343,11,2,3
Kp037,11,3,3
345,11,4,3
MKPU064,11,5,3
349,11,6,3
Kp041,11,7,3
350,11,8,3
Kp042,11,9,3
352,11,10,3
Kp044,11,11,3
354,11,12,3
Kp045,11,13,3
361,11,14,3
Kp046,11,15,3
362,11,16,3
Kp047,11,17,3
363,11,18,3
Kp049,11,19,3
371,11,20,3
MKPU079,11,21,3
376,11,22,3
Kp052,11,23,3
378,11,24,3
HKPB415,12,1,3
MKPR024,12,2,3
HKPB08,12,3,3
HKPU010,12,4,3
HKPB100,12,5,3
HKPU012,12,6,3
HKPB101,12,7,3
MKPR025,12,8,3
HKPB102,12,9,3
HKPU016,12,10,3
HKPB103,12,11,3
HKPU017,12,12,3
HKPB104,12,13,3
HKPU026,12,14,3
HKPB105,12,15,3
MKPU028,12,16,3
HKPB200,12,17,3
HKPU030,12,18,3
RKPR136,12,19,3
HKPU031,12,20,3
HKPB202,12,21,3
HKPU033,12,22,3
HKPB203,12,23,3
HKPU034,12,24,3
Kp055,13,1,3
380,13,2,3
Kp056,13,3,3
390,13,4,3
Kp058,13,5,3
391,13,6,3
Kp059,13,7,3
393,13,8,3
Kp060,13,9,3
395,13,10,3
Kp062,13,11,3
396,13,12,3
Kp063,13,13,3
399,13,14,3
MKPU080,13,15,3
301B,13,16,3
MKPR276,13,17,3
RKPU105,13,18,3
Kp066,13,19,3
308,13,20,3
Kp067,13,21,3
320,13,22,3
Kp068,13,23,3
333,13,24,3
HKPB204,14,1,3
HKPU035,14,2,3
HKPB205,14,3,3
HKPU036,14,4,3
HKPB206,14,5,3
HKPU056,14,6,3
HKPB207,14,7,3
MKPU019,14,8,3
HKPB208,14,9,3
HKPU060,14,10,3
HKPB209,14,11,3
HKPU080,14,12,3
HKPB210,14,13,3
HKPU081,14,14,3
HKPB211,14,15,3
MKPB020,14,16,3
HKPB212,14,17,3
MKPB019,14,18,3
HKPB213,14,19,3
MKPB024,14,20,3
HKPB214,14,21,3
MKPB028,14,22,3
HKPB215,14,23,3
MKPU065,14,24,3
Kp069,15,1,3
334,15,2,3
Kp071,15,3,3
MKPB251,15,4,3
Kp072,15,5,3
342,15,6,3
Kp073,15,7,3
MKPU257,15,8,3
Kp076,15,9,3
357,15,10,3
Kp077,15,11,3
358,15,12,3
Kp079,15,13,3
360,15,14,3
Kp080,15,15,3
368,15,16,3
Kp081,15,17,3
369,15,18,3
Kp083,15,19,3
373,15,20,3
MKP103,15,21,3
374,15,22,3
170,15,23,3
375,15,24,3
HKPB216,16,1,3
MKPB006,16,2,3
HKPB217,16,3,3
MKPR265,16,4,3
HKPB218,16,5,3
MKPB014,16,6,3
HKPB219,16,7,3
MKPB017,16,8,3
HKPB220,16,9,3
MKPB016,16,10,3
HKPB221,16,11,3
HKPU107,16,12,3
HKPB222,16,13,3
MKPR026,16,14,3
HKPB300,16,15,3
MKPR029,16,16,3
HKPB301,16,17,3
MKPR031,16,18,3
HKPB303,16,19,3
MKPR033,16,20,3
HKPB304,16,21,3
MKPU005,16,22,3
HKPU111,16,23,3
MKPU006,16,24,3
Kp088,1,1,4
HKPR011,1,2,4
Kp089,1,3,4
377,1,4,4
Kp091,1,5,4
382,1,6,4
Kp093,1,7,4
385,1,8,4
Kp095,1,9,4
387,1,10,4
Kp097,1,11,4
388,1,12,4
Kp099,1,13,4
389,1,14,4
Kp011,1,15,4
397,1,16,4
Kp021,1,17,4
398,1,18,4
Kp031,1,19,4
400,1,20,4
Kp043,1,21,4
402,1,22,4
Kp078,1,23,4
403,1,24,4
HKPB305,2,1,4
MKP103,2,2,4
HKPB306,2,3,4
MKPU066,2,4,4
HKPB400,2,5,4
RKPB045,2,6,4
JKPB621,2,7,4
JKPB648,2,8,4
HKPB402,2,9,4
JKPB651,2,10,4
HKPB403,2,11,4
JKPB653,2,12,4
RKPR137,2,13,4
JKPB655,2,14,4
HKPB405,2,15,4
JKPB670,2,16,4
HKPB406,2,17,4
JKPB671,2,18,4
HKPB407,2,19,4
JKPB514,2,20,4
HKPB408,2,21,4
JKPB672,2,22,4
HKPB409,2,23,4
MKP103,2,24,4
Kp003,3,1,4
405,3,2,4
Kp023,3,3,4
406,3,4,4
Kp040,3,5,4
407,3,6,4
Kp01_s,3,7,4
409,3,8,4
Kp02_s,3,9,4
411,3,10,4
Kp03_s,3,11,4
412,3,12,4
MKPU077,3,13,4
413,3,14,4
Kp05_s,3,15,4
414,3,16,4
Kp07_s,3,17,4
415,3,18,4
Kp08_s,3,19,4
417,3,20,4
Kp09_s,3,21,4
419,3,22,4
Kp10_s,3,23,4
420,3,24,4
HKPB410,4,1,4
JKPB676,4,2,4
HKPB411,4,3,4
JKPB677,4,4,4
HKPB412,4,5,4
JKPB679,4,6,4
HKPB413,4,7,4
JKPB680,4,8,4
HKPB414,4,9,4
JKPB683,4,10,4
HKPB500,4,11,4
JKPB685,4,12,4
HKPB501,4,13,4
JKPB686,4,14,4
RKPR138,4,15,4
MKPR004,4,16,4
HKPB503,4,17,4
MKPR023,4,18,4
HKPB504,4,19,4
MKPR032,4,20,4
HKPB505,4,21,4
MKPU011,4,22,4
HKPB506,4,23,4
MKPU015,4,24,4
Kp11_s,5,1,4
422,5,2,4
Kp12_s,5,3,4
423,5,4,4
Kp13_s,5,5,4
424,5,6,4
Kp14_s,5,7,4
MKP103,5,8,4
Kp15_s,5,9,4
426,5,10,4
Kp16_s,5,11,4
427,5,12,4
Kp19_s,5,13,4
428,5,14,4
Kp20_s,5,15,4
430,5,16,4
Kp21_s,5,17,4
431,5,18,4
Kp22_s,5,19,4
432,5,20,4
Kp23_s,5,21,4
435,5,22,4
Kp24_s,5,23,4
436,5,24,4
HKPB507,6,1,4
MKPU016,6,2,4
HKPB508,6,3,4
MKPU023,6,4,4
HKPB509,6,5,4
MKPU025,6,6,4
HKPB510,6,7,4
MKPU075,6,8,4
HKPB511,6,9,4
MKPU099,6,10,4
HKPB512,6,11,4
MKPU112,6,12,4
HKPB513,6,13,4
MKPU116,6,14,4
HKPB514,6,15,4
RKPB295,6,16,4
HKPB516,6,17,4
MKPU121,6,18,4
HKPB517,6,19,4
